,rotate_angle,box_detect_confidence_top_cam,box_detect_confidence_side_cam,arrow_position_encode,arrow_direction_encode,angle_type_encode,parameter
0,402.0,495.0,483.0,94.0,94.0,402.0,count
1,91.49751243781094,68.80818181818182,97.01407867494825,2.0,1.6063829787234043,2.0049751243781095,mean
2,3.3686605789029693,3.589740656798143,0.5193761518961056,0.0,0.4911711942619928,0.07044655835560089,std
3,86.0,53.36,95.17,2.0,1.0,2.0,min
4,91.0,66.565,96.67,2.0,1.0,2.0,25%
5,92.0,68.86,97.02,2.0,2.0,2.0,50%
6,92.0,70.81,97.36500000000001,2.0,2.0,2.0,75%
7,135.0,89.64,98.54,2.0,2.0,3.0,max
8,,,,,,1.0,pricission
9,,,,0.0,0.0,1.0,recall
10,2.3624311801788176,31.271982236068325,3.0896921039639698,,,,rmse
11,5.581081081081081,977.9368729729729,9.5461972972973,,,,mse
12,1.990700377797152,31.067837837837835,3.02945945945946,,,,mape_
13,,,,0.0,0.0,1.0,accuracy
